公司名称,联系人,电话,邮箱,地区,客户类型,状态,来源,标签,备注,地址
华东光网科技有限公司,王经理,021-66001234,sales@hdgw-demo.com,上海,系统集成商,新线索,演示数据,A级,演示数据：机房布线/光缆配套需求,上海市浦东新区张江路88号
深圳华信弱电工程有限公司,李工,0755-88345678,lixing@szhx-demo.com,广东深圳,弱电工程商,新线索,演示数据,B级,演示数据：小区/园区光纤到户工程,深圳市南山区科技园南路12号
苏州苏光通信器材有限公司,陈经理,0512-66551234,chen@szsg-demo.com,江苏苏州,分销商,新线索,演示数据,B级,演示数据：跳线/配线架批发,苏州市吴中区金枫路66号
武汉光谷网络工程有限公司,刘总,027-87234567,liu@whgg-demo.com,湖北武汉,通信工程商,新线索,演示数据,A级,演示数据：运营商接入网施工,武汉市东湖高新区光谷大道77号
成都锦城弱电安装有限公司,张经理,028-85566778,zhang@cdjc-demo.com,四川成都,弱电工程商,新线索,演示数据,C级,演示数据：楼宇安防/综合布线,成都市高新区天府三街19号
杭州钱塘智能科技有限公司,赵工,0571-88990123,zhao@hxq-demo.com,浙江杭州,系统集成商,新线索,演示数据,B级,演示数据：数据中心机房改造,杭州市滨江区江陵路2028号
南京金陵通信科技有限公司,孙经理,025-84567890,sun@njjl-demo.com,江苏南京,运营商供应商,新线索,演示数据,A级,演示数据：光缆集采配套,南京市建邺区江东中路289号
北京中讯网络科技有限公司,周总,010-58776655,zhou@bjzx-demo.com,北京,网络工程商,新线索,演示数据,B级,演示数据：政企专线/光纤接入,北京市海淀区中关村大街27号
广州穗通光电有限公司,吴经理,020-38845678,wu@gzst-demo.com,广东广州,贸易商,新线索,演示数据,C级,演示数据：光器件/跳线分销,广州市天河区体育西路123号
长沙湘光通信工程有限公司,郑工,0731-85234567,zheng@csxg-demo.com,湖南长沙,弱电工程商,新线索,演示数据,B级,演示数据：监控专网/光纤熔接,长沙市岳麓区麓谷大道678号
